election_date,report_period_start,report_period_end,filing_deadline
11/3/2022,1/1/2022,6/30/2022,8/1/2022
11/3/2022,7/1/2022,9/24/2022,9/29/2022
11/3/2022,9/25/2022,10/22/2022,10/27/2022
11/3/2022,10/23/2022,12/31/2022,1/31/2023
11/7/2023,1/1/2023,6/30/2023,7/31/2023
11/7/2023,7/1/2023,9/23/2023,9/28/2023
11/7/2023,9/24/2023,10/21/2023,10/26/2023
11/7/2023,10/22/2023,12/31/2023,1/31/2024
11/5/2024,1/1/2023,6/30/2023,7/31/2023
11/5/2024,7/1/2023,12/31/2023,1/31/2024
11/5/2024,1/1/2024,6/30/2024,7/31/2024
11/5/2024,7/1/2024,9/21/2024,9/26/2024
11/5/2024,9/22/2024,10/19/2024,10/24/2024
11/5/2024,10/20/2024,12/31/2024,1/31/2025
